stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,wheelchair_boarding,transport_type
21488,21488,УЛ. МАРШАЛА ТУХАЧЕВСКОГО,59.970356,30.423911,0,2,bus
21485,21485,"ЗАМШИНА УЛ., УГ. ПР. МЕЧНИКОВА",59.985636,30.411025,0,2,bus
21486,21486,"ПР. МЕЧНИКОВА, УГ. КОНДРАТЬЕВСКОГО ПР.",59.986742,30.400908,0,2,bus
21476,21476,"МОРСКАЯ НАБ.,9",59.937397,30.213754,0,2,bus
21475,21475,"МОРСКАЯ НАБ.,15",59.941882,30.208240,0,2,bus
21255,21255,"ПР. ЛЕНИНА, УГ. УЛ. ПЕРВОГО МАЯ",59.732869,30.088570,0,2,bus
21315,21315,ПР. ЭНЕРГЕТИКОВ,59.953183,30.435886,0,2,bus
21358,21358,"УЛ. БУТЛЕРОВА, УГ. УЛ. ВЕРНОСТИ",60.007035,30.401720,0,2,bus
21175,21175,ПИСКАРЕВСКИЙ ПР.,59.979955,30.421706,0,2,bus
21196,21196,"ШПАЛЕРНАЯ УЛ., УГ. ТАВРИЧЕСКОЙ УЛ.",59.948453,30.378125,0,2,bus
21235,21235,"Придорожная аллея Т (20, 40)",60.051378,30.379300,0,2,tram
21006,21006,РИЖСКИЙ ПР.,59.914004,30.295953,0,2,bus
21057,21057,ИСКРОВСКИЙ ПР.,59.916514,30.457662,0,2,bus
21077,21077,ПР. УДАРНИКОВ,59.953647,30.482866,0,2,bus
21079,21079,ТОВАРИЩЕСКИЙ ПР.,59.908717,30.491685,0,2,bus
21095,21095,УЛ. БЕСТУЖЕВСКАЯ,59.979958,30.420638,0,2,bus
21098,21098,КРАСНОГВАРДЕЙСКАЯ ПЛ.,59.942696,30.413976,0,2,bus
21097,21097,"ХЕРСОНСКАЯ УЛ., УГ. ИСПОЛКОМСКОЙ УЛ.",59.927732,30.382519,0,2,bus
21115,21115,"ЦФТ ""ОЗЕРКИ""",60.069796,30.290666,0,2,bus
23913,23913,"АС ""ПАВЛОВСК"" (ПОСАДКИ И ВЫХ.НЕТ)",59.697919,30.440024,0,2,bus
23915,23915,ПОС. ДЕТСКОСЕЛЬСКИЙ,59.730207,30.464407,0,2,bus
23914,23914,"Г. ПУШКИН, НОВОДЕРЕВЕНСКАЯ УЛ., УГ. УЛ. УДАЛОВСКОГО",59.721674,30.432076,0,2,bus
23917,23917,ДЕТСКАЯ МУЗЫКАЛЬНАЯ ШКОЛА,59.894766,30.319696,0,2,bus
23916,23916,24-25-Я ЛИНИИ В.О.,59.940177,30.250902,0,2,bus
23919,23919,"Г. ПУШКИН, НОВОДЕРЕВЕНСКАЯ УЛ., УГ. УЛ. УДАЛОВСКОГО",59.721468,30.431876,0,2,bus
23918,23918,ТРАМПАРК №1,59.897626,30.319465,0,2,bus
23930,23930,НАБ. ОБВОДНОГО КНАЛА,59.909434,30.318214,0,2,bus
23931,23931,ПР. КОРОЛЁВА,60.011517,30.275400,0,2,bus
23932,23932,КИЕВСКАЯ УЛ.,59.902155,30.318247,0,2,bus
23933,23933,ТРАМПАРК №1,59.897987,30.318580,0,2,bus
23934,23934,ДЕТСКАЯ МУЗЫКАЛЬНАЯ ШКОЛА,59.894535,30.318945,0,2,bus
23921,23921,НАБ. ОБВОДНОГО КАНАЛА,59.909759,30.318571,0,2,bus
